description,industry,level,size,line_code,value
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)","Printing, publishing, & recorded media",2,total,D0209,153
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)","Petroleum, coal, chemical, & associated product",2,total,D0209,354
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",Non-metallic mineral product,2,total,D0209,135
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",Metal product,2,total,D0209,504
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",Transport and industrial machinery & equipment,2,total,D0209,606
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",Other machinery & equipment,2,total,D0209,144
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",Other manufacturing,2,total,D0209,201
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)","Electricity, gas, water, & waste services",1,total,D0209,105
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",Construction,1,total,D0209,2973
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",Wholesale trade,1,total,D0209,2028
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",Machinery & equipment wholesaling,2,total,D0209,690
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",Other wholesale trade,2,total,D0209,1338
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",Retail trade,1,total,D0209,2931
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",Accommodation & food services,1,total,D0209,3201
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)","Transport, postal, & warehousing",1,total,D0209,1071
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",Information media & telecommunications,1,total,D0209,252
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",Publishing,2,total,D0209,81
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",Motion picture,2,total,D0209,99
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",Telecommunications,2,total,D0209,69
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",Financial & insurance services,1,total,D0209,333
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",Finance,2,total,D0209,108
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",Insurance,2,total,D0209,27
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",Auxiliary,2,total,D0209,204
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)","Rental, hiring, & real estate services",1,total,D0209,636
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)","Professional, scientific, & technical services",1,total,D0209,2871
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",Computer systems design,2,total,D0209,531
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",Other professional scientific,2,total,D0209,2343
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",Administrative & support services,1,total,D0209,1014
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",Education & training,1,total,D0209,609
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",Health care & social assistance,1,total,D0209,1629
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",Arts & recreation services,1,total,D0209,267
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",Other services,1,total,D0209,645
"At the end of the last financial year, which of the following types of outstanding debt did this business have? other (eg holiday pay, PAYE, or GST owing)",total,0,total,D0209,25449
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",total,0,6–19 employees,D0301.01,9294
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",total,0,20–49 employees,D0301.01,3009
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",total,0,50–99 employees,D0301.01,978
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",total,0,100+ employees,D0301.01,696
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes","Agriculture, forestry, & fishing",1,total,D0301.01,1977
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Agriculture,2,total,D0301.01,1386
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Commercial fishing,2,total,D0301.01,18
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Forestry & logging,2,total,D0301.01,162
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes","Agriculture, forestry, & fishing support services",2,total,D0301.01,411
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Mining,1,total,D0301.01,48
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Manufacturing,1,total,D0301.01,2058
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes","Food, beverage, & tobacco",2,total,D0301.01,444
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes","Textile, clothing, footwear, & leather",2,total,D0301.01,120
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Wood & paper product,2,total,D0301.01,240
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes","Printing, publishing, & recorded media",2,total,D0301.01,99
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes","Petroleum, coal, chemical, & associated product",2,total,D0301.01,141
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Non-metallic mineral product,2,total,D0301.01,69
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Metal product,2,total,D0301.01,351
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Transport and industrial machinery & equipment,2,total,D0301.01,390
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Other machinery & equipment,2,total,D0301.01,66
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Other manufacturing,2,total,D0301.01,135
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes","Electricity, gas, water, & waste services",1,total,D0301.01,66
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Construction,1,total,D0301.01,1890
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Wholesale trade,1,total,D0301.01,1056
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Machinery & equipment wholesaling,2,total,D0301.01,114
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Other wholesale trade,2,total,D0301.01,939
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Retail trade,1,total,D0301.01,1110
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Accommodation & food services,1,total,D0301.01,1719
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes","Transport, postal, & warehousing",1,total,D0301.01,783
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Information media & telecommunications,1,total,D0301.01,75
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Publishing,2,total,D0301.01,15
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Motion picture,2,total,D0301.01,33
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Telecommunications,2,total,D0301.01,24
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Financial & insurance services,1,total,D0301.01,114
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Finance,2,total,D0301.01,60
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Insurance,2,total,D0301.01,0
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Auxiliary,2,total,D0301.01,54
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes","Rental, hiring, & real estate services",1,total,D0301.01,441
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes","Professional, scientific, & technical services",1,total,D0301.01,846
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Computer systems design,2,total,D0301.01,84
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Other professional scientific,2,total,D0301.01,762
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Administrative & support services,1,total,D0301.01,357
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Education & training,1,total,D0301.01,213
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Health care & social assistance,1,total,D0301.01,660
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Arts & recreation services,1,total,D0301.01,159
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",Other services,1,total,D0301.01,402
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - yes",total,0,total,D0301.01,13977
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",total,0,6–19 employees,D0301.02,22950
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",total,0,20–49 employees,D0301.02,4845
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",total,0,50–99 employees,D0301.02,1311
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",total,0,100+ employees,D0301.02,1167
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no","Agriculture, forestry, & fishing",1,total,D0301.02,1761
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Agriculture,2,total,D0301.02,1107
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Commercial fishing,2,total,D0301.02,36
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Forestry & logging,2,total,D0301.02,99
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no","Agriculture, forestry, & fishing support services",2,total,D0301.02,522
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Mining,1,total,D0301.02,60
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Manufacturing,1,total,D0301.02,3216
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no","Food, beverage, & tobacco",2,total,D0301.02,675
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no","Textile, clothing, footwear, & leather",2,total,D0301.02,165
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Wood & paper product,2,total,D0301.02,276
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no","Printing, publishing, & recorded media",2,total,D0301.02,147
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no","Petroleum, coal, chemical, & associated product",2,total,D0301.02,303
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Non-metallic mineral product,2,total,D0301.02,123
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Metal product,2,total,D0301.02,630
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Transport and industrial machinery & equipment,2,total,D0301.02,501
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Other machinery & equipment,2,total,D0301.02,162
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Other manufacturing,2,total,D0301.02,234
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no","Electricity, gas, water, & waste services",1,total,D0301.02,96
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Construction,1,total,D0301.02,3714
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Wholesale trade,1,total,D0301.02,2178
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Machinery & equipment wholesaling,2,total,D0301.02,855
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Other wholesale trade,2,total,D0301.02,1320
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Retail trade,1,total,D0301.02,3648
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Accommodation & food services,1,total,D0301.02,4410
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no","Transport, postal, & warehousing",1,total,D0301.02,840
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Information media & telecommunications,1,total,D0301.02,315
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Publishing,2,total,D0301.02,114
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Motion picture,2,total,D0301.02,99
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Telecommunications,2,total,D0301.02,99
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Financial & insurance services,1,total,D0301.02,459
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Finance,2,total,D0301.02,126
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Insurance,2,total,D0301.02,33
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Auxiliary,2,total,D0301.02,300
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no","Rental, hiring, & real estate services",1,total,D0301.02,558
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no","Professional, scientific, & technical services",1,total,D0301.02,3681
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Computer systems design,2,total,D0301.02,738
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Other professional scientific,2,total,D0301.02,2946
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Administrative & support services,1,total,D0301.02,1395
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Education & training,1,total,D0301.02,768
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Health care & social assistance,1,total,D0301.02,1980
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Arts & recreation services,1,total,D0301.02,309
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",Other services,1,total,D0301.02,879
"At the end of the last financial year, did this business use any of the following as collateral for financing? business assets - no",total,0,total,D0301.02,30276
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",total,0,6–19 employees,D0302.01,8679
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",total,0,20–49 employees,D0302.01,1734
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",total,0,50–99 employees,D0302.01,414
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",total,0,100+ employees,D0302.01,165
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes","Agriculture, forestry, & fishing",1,total,D0302.01,597
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Agriculture,2,total,D0302.01,357
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Commercial fishing,2,total,D0302.01,12
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Forestry & logging,2,total,D0302.01,72
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes","Agriculture, forestry, & fishing support services",2,total,D0302.01,159
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Mining,1,total,D0302.01,18
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Manufacturing,1,total,D0302.01,1476
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes","Food, beverage, & tobacco",2,total,D0302.01,273
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes","Textile, clothing, footwear, & leather",2,total,D0302.01,78
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Wood & paper product,2,total,D0302.01,144
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes","Printing, publishing, & recorded media",2,total,D0302.01,81
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes","Petroleum, coal, chemical, & associated product",2,total,D0302.01,48
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Non-metallic mineral product,2,total,D0302.01,57
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Metal product,2,total,D0302.01,306
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Transport and industrial machinery & equipment,2,total,D0302.01,327
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Other machinery & equipment,2,total,D0302.01,48
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Other manufacturing,2,total,D0302.01,111
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes","Electricity, gas, water, & waste services",1,total,D0302.01,36
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Construction,1,total,D0302.01,1395
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Wholesale trade,1,total,D0302.01,729
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Machinery & equipment wholesaling,2,total,D0302.01,78
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Other wholesale trade,2,total,D0302.01,651
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Retail trade,1,total,D0302.01,1494
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Accommodation & food services,1,total,D0302.01,1824
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes","Transport, postal, & warehousing",1,total,D0302.01,423
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Information media & telecommunications,1,total,D0302.01,69
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Publishing,2,total,D0302.01,33
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Motion picture,2,total,D0302.01,21
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Telecommunications,2,total,D0302.01,15
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Financial & insurance services,1,total,D0302.01,66
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Finance,2,total,D0302.01,21
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Insurance,2,total,D0302.01,0
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Auxiliary,2,total,D0302.01,45
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes","Rental, hiring, & real estate services",1,total,D0302.01,312
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes","Professional, scientific, & technical services",1,total,D0302.01,966
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Computer systems design,2,total,D0302.01,111
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Other professional scientific,2,total,D0302.01,858
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Administrative & support services,1,total,D0302.01,360
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Education & training,1,total,D0302.01,201
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Health care & social assistance,1,total,D0302.01,564
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Arts & recreation services,1,total,D0302.01,90
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",Other services,1,total,D0302.01,369
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - yes",total,0,total,D0302.01,10995
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",total,0,6–19 employees,D0302.02,23565
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",total,0,20–49 employees,D0302.02,6120
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",total,0,50–99 employees,D0302.02,1878
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",total,0,100+ employees,D0302.02,1698
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no","Agriculture, forestry, & fishing",1,total,D0302.02,3141
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Agriculture,2,total,D0302.02,2136
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Commercial fishing,2,total,D0302.02,42
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Forestry & logging,2,total,D0302.02,189
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no","Agriculture, forestry, & fishing support services",2,total,D0302.02,774
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Mining,1,total,D0302.02,93
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Manufacturing,1,total,D0302.02,3798
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no","Food, beverage, & tobacco",2,total,D0302.02,849
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no","Textile, clothing, footwear, & leather",2,total,D0302.02,207
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Wood & paper product,2,total,D0302.02,372
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no","Printing, publishing, & recorded media",2,total,D0302.02,168
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no","Petroleum, coal, chemical, & associated product",2,total,D0302.02,396
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Non-metallic mineral product,2,total,D0302.02,135
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Metal product,2,total,D0302.02,675
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Transport and industrial machinery & equipment,2,total,D0302.02,564
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Other machinery & equipment,2,total,D0302.02,177
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Other manufacturing,2,total,D0302.02,258
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no","Electricity, gas, water, & waste services",1,total,D0302.02,126
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Construction,1,total,D0302.02,4209
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Wholesale trade,1,total,D0302.02,2505
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Machinery & equipment wholesaling,2,total,D0302.02,894
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Other wholesale trade,2,total,D0302.02,1608
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Retail trade,1,total,D0302.02,3261
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Accommodation & food services,1,total,D0302.02,4305
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no","Transport, postal, & warehousing",1,total,D0302.02,1203
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Information media & telecommunications,1,total,D0302.02,318
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Publishing,2,total,D0302.02,99
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Motion picture,2,total,D0302.02,111
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Telecommunications,2,total,D0302.02,105
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Financial & insurance services,1,total,D0302.02,510
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Finance,2,total,D0302.02,168
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Insurance,2,total,D0302.02,33
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Auxiliary,2,total,D0302.02,312
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no","Rental, hiring, & real estate services",1,total,D0302.02,687
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no","Professional, scientific, & technical services",1,total,D0302.02,3561
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Computer systems design,2,total,D0302.02,711
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Other professional scientific,2,total,D0302.02,2850
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Administrative & support services,1,total,D0302.02,1392
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Education & training,1,total,D0302.02,780
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Health care & social assistance,1,total,D0302.02,2079
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Arts & recreation services,1,total,D0302.02,378
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",Other services,1,total,D0302.02,912
"At the end of the last financial year, did this business use any of the following as collateral for financing? personal assets - no",total,0,total,D0302.02,33261
"Over the last financial year, how have this business's existing credit facilities changed? overdraft / credit limits - decreased",total,0,6–19 employees,D0401.01,2094
"Over the last financial year, how have this business's existing credit facilities changed? overdraft / credit limits - decreased",total,0,20–49 employees,D0401.01,648
"Over the last financial year, how have this business's existing credit facilities changed? overdraft / credit limits - decreased",total,0,50–99 employees,D0401.01,150
"Over the last financial year, how have this business's existing credit facilities changed? overdraft / credit limits - decreased",total,0,100+ employees,D0401.01,102
"Over the last financial year, how have this business's existing credit facilities changed? overdraft / credit limits - decreased","Agriculture, forestry, & fishing",1,total,D0401.01,396
"Over the last financial year, how have this business's existing credit facilities changed? overdraft / credit limits - decreased",Agriculture,2,total,D0401.01,276
"Over the last financial year, how have this business's existing credit facilities changed? overdraft / credit limits - decreased",Commercial fishing,2,total,D0401.01,0
"Over the last financial year, how have this business's existing credit facilities changed? overdraft / credit limits - decreased",Forestry & logging,2,total,D0401.01,30
"Over the last financial year, how have this business's existing credit facilities changed? overdraft / credit limits - decreased","Agriculture, forestry, & fishing support services",2,total,D0401.01,93
"Over the last financial year, how have this business's existing credit facilities changed? overdraft / credit limits - decreased",Mining,1,total,D0401.01,15
"Over the last financial year, how have this business's existing credit facilities changed? overdraft / credit limits - decreased",Manufacturing,1,total,D0401.01,384
"Over the last financial year, how have this business's existing credit facilities changed? overdraft / credit limits - decreased","Food, beverage, & tobacco",2,total,D0401.01,69
"Over the last financial year, how have this business's existing credit facilities changed? overdraft / credit limits - decreased","Textile, clothing, footwear, & leather",2,total,D0401.01,30
"Over the last financial year, how have this business's existing credit facilities changed? overdraft / credit limits - decreased",Wood & paper product,2,total,D0401.01,54
"Over the last financial year, how have this business's existing credit facilities changed? overdraft / credit limits - decreased","Printing, publishing, & recorded media",2,total,D0401.01,27
"Over the last financial year, how have this business's existing credit facilities changed? overdraft / credit limits - decreased","Petroleum, coal, chemical, & associated product",2,total,D0401.01,12
"Over the last financial year, how have this business's existing credit facilities changed? overdraft / credit limits - decreased",Non-metallic mineral product,2,total,D0401.01,12
"Over the last financial year, how have this business's existing credit facilities changed? overdraft / credit limits - decreased",Metal product,2,total,D0401.01,93
"Over the last financial year, how have this business's existing credit facilities changed? overdraft / credit limits - decreased",Transport and industrial machinery & equipment,2,total,D0401.01,48
"Over the last financial year, how have this business's existing credit facilities changed? overdraft / credit limits - decreased",Other machinery & equipment,2,total,D0401.01,12
"Over the last financial year, how have this business's existing credit facilities changed? overdraft / credit limits - decreased",Other manufacturing,2,total,D0401.01,21
